                  50                   2                  20
                   4                   1                   7        0.0892763455
                   4                   1                   8        0.0856719134
                   4                   1                   9        0.0768489122
                   4                   1                  10        0.0611092077
                   4                   1                  11        0.0513871295
                   4                   1                  12        0.0403136482
                   4                   1                  13        0.0302586214
                   4                   1                  14        0.0305776120
                   4                   1                  15        0.0313956903
                   4                   1                  16        0.0280231965
                   4                   1                  17        0.0225622739
                   4                   1                  18        0.0192203732
                   4                   1                  19        0.0137951453
                   5                   0                   0        0.5000000000
                   5                   0                   1        0.3697058628
                   5                   0                   2        0.2926660494
                   5                   0                   3        0.2165775654
                   5                   0                   4        0.1905438707
                   5                   0                   5        0.1596837207
                   5                   0                   6        0.1467428465
                   5                   0                   7        0.1155875122
                   5                   0                   8        0.1039685452
                   5                   0                   9        0.0823421173
                   5                   0                  10        0.0699306991
                   5                   0                  11        0.0534645877
                   5                   0                  12        0.0398119991
                   5                   0                  13        0.0425299026
                   5                   0                  14        0.0377479655
                   5                   0                  15        0.0294631286
                   5                   0                  16        0.0234967025
                   5                   0                  17        0.0125813475
                   5                   0                  18        0.0064178847
                   5                   0                  19        0.0081373013
                   5                   1                   0        0.5000000000
                   5                   1                   1        0.3835156923
                   5                   1                   2        0.3106976664
                   5                   1                   3        0.2429523359
                   5                   1                   4        0.2068452302
                   5                   1                   5        0.1663467332
                   5                   1                   6        0.1560991076
                   5                   1                   7        0.1363290885
                   5                   1                   8        0.1163433346
                   5                   1                   9        0.1126483519
                   5                   1                  10        0.0854167491
                   5                   1                  11        0.0665094171
                   5                   1                  12        0.0477217247
                   5                   1                  13        0.0480043601
                   5                   1                  14        0.0411132787
                   5                   1                  15        0.0307208696
                   5                   1                  16        0.0264984739
                   5                   1                  17        0.0187826563
                   5                   1                  18        0.0254862091
                   5                   1                  19        0.0236395206
                   6                   0                   0        0.5000000000
                   6                   0                   1        0.3937106777
                   6                   0                   2        0.3043962174
                   6                   0                   3        0.2396543848
                   6                   0                   4        0.1987819869
                   6                   0                   5        0.1578837705
                   6                   0                   6        0.1287333502
                   6                   0                   7        0.0969921008
                   6                   0                   8        0.0804144096
                   6                   0                   9        0.0746286773
                   6                   0                  10        0.0715212811
                   6                   0                  11        0.0615742213
                   6                   0                  12        0.0616850301
                   6                   0                  13        0.0619679950
                   6                   0                  14        0.0595968728
                   6                   0                  15        0.0533136117
                   6                   0                  16        0.0529862249
                   6                   0                  17        0.0504835749
                   6                   0                  18        0.0636517514
                   6                   0                  19        0.0420914198
                   6                   1                   0        0.5000000000
                   6                   1                   1        0.3640708173
                   6                   1                   2        0.2867399219
                   6                   1                   3        0.2097445214
                   6                   1                   4        0.1806831164
                   6                   1                   5        0.1543715437
                   6                   1                   6        0.1201085870
                   6                   1                   7        0.0989089189
                   6                   1                   8        0.0953192837
                   6                   1                   9        0.0784398608
                   6                   1                  10        0.0640872526
                   6                   1                  11        0.0548726855
                   6                   1                  12        0.0500593806
                   6                   1                  13        0.0354954651
                   6                   1                  14        0.0284531250
                   6                   1                  15        0.0289088334
                   6                   1                  16        0.0250358669
                   6                   1                  17        0.0141962526
                   6                   1                  18        0.0094681991
                   6                   1                  19        0.0117683649
                   7                   0                   0        0.5000000000
                   7                   0                   1        0.3857448173
                   7                   0                   2        0.3025806275
                   7                   0                   3        0.2416402786
                   7                   0                   4        0.1943059968
                   7                   0                   5        0.1495767326
                   7                   0                   6        0.1342452752
                   7                   0                   7        0.1175696455
                   7                   0                   8        0.1151371818
                   7                   0                   9        0.1032189094
                   7                   0                  10        0.0975717313
                   7                   0                  11        0.0779046095
                   7                   0                  12        0.0662982788
                   7                   0                  13        0.0571443796
                   7                   0                  14        0.0476007119
